"rank_SHARED_TIES","display_order_NOT_TIEBREAK","project","WebMCP Leverage","Execution","Potential Impact","Creativity & Ambition","reconciled_score_out_of_100_NOT_OFFICIAL","first_pass_description_score","original_rank","url","scorecard","comparison_reason","WebMCP Leverage final-score rationale","Execution final-score rationale","Potential Impact final-score rationale","Creativity & Ambition final-score rationale","strengths","weaknesses","prior_evidence","description_review_confidence"
"1","1","Jig","9.5","9","8","9","88.75","88.75","1","https://devpost.com/software/jig-yrwiue","#file-finalist-details-md","Retains the strongest overall case: a shared validation engine, actionable repairs, context lifetimes and grading/yarn computation support more than a scripted assistant. Concrete reported native recovery is unusually persuasive. Broader garment correctness and designer adoption remain unverified; spoken charts are future work.","9.5/10: A shared proposal/validation engine, contextual capabilities and actionable repair results make WebMCP central to designing a valid pattern. Reported recovery works even when a host exposes only the first text result; this is more substantive than a large tool catalog.","9/10: The coherent grading, audit and yarn workflow is supported by concrete reported native recovery and an inspected common mutation gate. The earlier public recorded refusal/repair example worked, but neither that fallback sequence nor claimed property tests is an independent end-to-end native certification.","8/10: Incorrect counts and sizing waste designers' and knitters' time and materials, giving the tool a specific useful audience. Broader garment validation and observed designer adoption are missing; raglan-centered coverage limits reach.","9/10: Combining craft constraints, live shared editing and agent-readable repair choices is unusually distinctive. Spoken chart accessibility is future work and is not credited as a delivered outcome.","Repair evidence survives hosts that return only the first text result. | The engine is separated from UI and protocol code, with all writers using the same validation path.","Property-based tests do not prove correctness for every pattern, and garment coverage remains centered on raglan. | Accessible spoken chart output is a promising next step, not an existing completed outcome.","prior source inventory and live snapshot; targeted inspection depth varies","high"
"2","2","Gallery 402","9.5","9","7.5","9","87.5","87.5","","https://devpost.com/software/gallery-402","#file-finalist-details-md","New leading contender. Shared pointing, priced domain actions, settlement evidence and precise Chrome/ChatGPT interoperability repairs justify exceptional leverage and strong execution. Consumer demand and publisher economics are less established, so impact is lower. Mainnet purchase evidence and the testnet onboarding path are distinct, and browser-held wallet keys limit practical custody.","9.5/10: Shared pointing, personalized gallery actions, priced operations and in-flight capability management give the protocol meaningful work. Specific reported Chrome/ChatGPT compatibility repairs strengthen the case for unusually skillful integration.","9/10: Reported cross-client runs, compatibility fixes and payment evidence support a coherent product description. Mainnet purchase evidence and testnet in-page onboarding are distinct paths; neither was independently replayed, and browser-held wallet keys constrain custody suitability.","7.5/10: A paid docent makes granular content access concrete, but demand, publisher economics and wallet onboarding are not established by a small gallery. This scores demonstrated fit rather than assuming a new payment model will gain adoption.","9/10: Personalized interpretation, human pointing and explicit paid actions form a distinctive collaborative experience rather than a generic paywall. Merchant/discovery tooling remains prospective.","Spending policy stays human-controlled and priced actions expose exact effects. | Separates scripted, model-driven, native-host and mainnet payment evidence.","A localStorage private key is unsuitable for substantial funds without stronger custody protections. | Testnet onboarding and a small gallery do not establish broad consumer payment demand.","description only","high"
"3","3","Interleave","9","8.5","8","9","86.25","88.75","","https://devpost.com/software/interleave-syoiaz","#file-finalist-details-md","New leading contender. Pending calls plus human edits expose a real shared-state race; replay, fresh-state reduction and exported regressions form a coherent developer workflow. Three adapters and an upstream-linked Plane model give concrete transfer potential. The model and proposed patch are not an upstream-accepted fix or validated live deployment; adopters must supply application-specific actions and invariants.","9/10: Pending agent calls and meaningful human edits expose the shared-state concurrency problem directly. State-aware capability replacement and settlement handling let the application capture a race without cancelling the behavior under investigation.","8.5/10: Replay, fresh-state reduction and exported regressions form a coherent described workflow, with three adapters and an upstream-linked Plane case. The latter is a deterministic local model and proposed patch, not an accepted upstream fix or validated live deployment.","8/10: Reproducible lost-update failures address a concrete reliability problem for teams building human-agent interfaces. Adoption requires application-specific state readers, actions and invariants, so general transfer is promising rather than proven.","9/10: Turning a human-agent interleaving into a minimized regression is an unusually focused and original developer workflow. Its strength is the falsifiable debugging loop, not an unrestricted claim to discover all concurrency bugs.","Tool replacement waits for settlement so observation does not cancel the very race being recorded. | Failure reduction reruns each candidate against fresh state.","The Plane integration is a deterministic local model and proposed patch, not an upstream-accepted fix or live deployment test.","description only","high"
"3","4","InfraTwin","9","8.5","8","9","86.25","88.75","","https://devpost.com/software/infratwin","#file-finalist-details-md","Promoted from conditional alternate on technical merit. Human constraints change optimization, revisions invalidate results, and the inspected verifier reapplies changes and recomputes routing rather than trusting solver status. Verification holds within a bounded network model, not protocol convergence or production safety. Large adaptive generation can take tens of seconds. The Vimeo-only collected embed remains a separate unresolved YouTube-material caveat, not a numeric penalty.","9/10: Human constraints alter the mathematical problem, revisions invalidate results, and contextual tools act on a shared network plan. The agent collaborates with computation rather than supplying unsupported routing arithmetic.","8.5/10: Inspected verification code reapplies candidate changes and recomputes routing, costs and constraints instead of trusting solver status. This supports a substantive implementation, but no optimizer suite was rerun and large adaptive path generation can take tens of seconds.","8/10: Capacity and resilience planning have a specific professional audience. Synthetic models do not establish production-network transfer, protocol convergence or operational safety; independent planner trials would most strengthen impact.","9/10: Linking human locks, agent proposals, optimization and independent candidate checking is an ambitious, coherent design. Model verification is not credited as real-world certification, and the unresolved video-material caveat is separate from merit scores.","VERIFIED requires checking reconstructed routing and constraints, not trusting the solver's success flag. | The description distinguishes its network model from BGP, OSPF and device simulation.","Synthetic scale benchmarks do not establish operational transfer, and large adaptive generation remains slow enough to affect iteration.","prior source inventory and live snapshot; targeted inspection depth varies","high"
"3","5","Spatialize","9","8.5","8","9","86.25","87.5","","https://devpost.com/software/spatialize","#file-finalist-details-md","New leading contender. Body-specific clearance questions, durable disputes and narrowly applied server mutations provide a distinctive accessibility workflow. UNKNOWN measurements stay unknown and renames cannot carry unrelated geometry changes. Model coherence does not verify the real building; venue accounts, multi-floor routing and operational adoption remain incomplete.","9/10: Body-specific clearance questions, closure simulations, durable disputes and proposal-only writes provide a substantive shared workflow. Narrow server-applied mutations prevent a rename proposal from carrying unrelated geometry edits.","8.5/10: The description provides concrete uncertainty fixes, hydration recovery and constrained update behavior, rather than just a concept. Those mechanisms were not independently executed here and validate model coherence, not the physical building.","8/10: Venue-specific access information and preserved visitor reports address a meaningful gap without silently turning missing measurements into certainty. Venue accounts, multi-floor routing and operational adoption remain incomplete.","9/10: Individual body thresholds and disagreements that remain visible make an unusually thoughtful accessibility interface. Its novelty lies in accountable interaction and explicit uncertainty, not an unsupported claim of accessibility certification.","Unknown measurements stay unknown; a rename cannot smuggle unrelated geometry into an approved scene.","Coherence validation cannot verify the building; venue accounts and multi-floor routing remain future work.","description only","high"
"3","6","Groundplan","9","8.5","8","9","86.25","87.5","","https://devpost.com/software/groundplan","#file-finalist-details-md","Promoted from the old shortlist. It identifies where a mobility-sized route stops, reports resolved and introduced findings, and describes specific measurement/lifecycle defects and fixes. The 50 mm raster, circular body and simplified standards limit practical conclusions. Approval is configurable, and matching printed area does not prove accurate topology or doorway dimensions.","9/10: Quantitative geometry, route visualization and proposed edits operate on one plan, with mutations reporting resolved and introduced findings. The human can see exactly where a mobility-sized path stops and direct the next action.","8.5/10: Specific reported measurement bugs, lifecycle repairs and adversarial checks provide strong implementation detail. Prior source/live inventory is not independent validation of its 50 mm raster, circular-body model or full workflow.","8/10: Transparent screening could help households and professionals investigate access constraints. Simplified standards and geometry limit real-home conclusions; matching printed area does not establish correct topology or doorway widths.","9/10: Showing and repairing the geometric cause of a failed route creates a distinctive human-agent design loop. Configurable approval is useful but is not credited as a universal barrier to all browser automation.","Each mutation reports resolved and introduced findings in the same response. | Source-area checks expose mismatches instead of silently trusting a traced plan.","A 50 mm raster, circular mobility model and simplified rules cannot capture all real accessibility requirements. | Approval is configurable: designated destructive edits still require approval when the switch is off, but not every mutation is necessarily gated. Dynamic tool withdrawal and UI approval do not block every other browser-automation channel.","prior source inventory and live snapshot; targeted inspection depth varies","high"
"3","7","Living Evidence","9","8.5","8","9","86.25","87.5","9","https://devpost.com/software/living-evidence","#file-finalist-details-md","Remains competitive after recalibration. Shared executable claims, deterministic routines, exact-byte receipts and explicit missingness create a distinctive scientific document. Primary-source checks are absent, dependent records lack covariance modeling, and the wider research lifecycle is not integrated. The prior click timeout remains inconclusive rather than proof the scientific routines fail; impact is reduced to reflect these substantive limits.","9/10: Executable claims, deterministic analysis, human evidence admission and receipts let an agent interrogate the same scientific document the reader sees. Different states preserve the distinction between approval, arithmetic agreement and scientific truth.","8.5/10: Concrete analysis routines, exact-byte receipts and reported native document updates support substantial execution. The prior UI click attempt was inconclusive, not proof of scientific failure; no numerical test suite was rerun and the broader workspaces are not one integrated lifecycle.","8/10: Research reproducibility is a specific valuable application, but missing primary-source checks and dependent effects without covariance modeling constrain this exemplar. One reconstructed analysis does not establish improved research outcomes.","9/10: A paper whose explicit claims can be challenged through shared tools is distinctive. Honest missingness strengthens the design, while the planned integrated research lifecycle is not counted as shipped.","Approval, arithmetic agreement, rule success and scientific truth remain distinct states. | The description reports zero completed benchmark comparisons and concrete provenance missingness.","The exemplar's dependent records lack covariance modeling and primary-source checks. | Workspace, Atlas and the planned versioned research lifecycle are not yet one integrated evidence system.","prior source inventory and live snapshot; targeted inspection depth varies","high"
"8","8","Roque Nights","9","8.5","7.5","9","85","85","3","https://devpost.com/software/roque-nights-plan-the-sky-with-your-agent","#file-finalist-details-md","Retained for a particularly coherent bounded observing workflow: astronomy-engine, contextual tools, location-specific revalidation and reported native invocation across the surface. The source supports careful in-flight lifecycle handling. Catalog/weather limits and absent observer trials constrain impact; reported integration tests are not independent ephemeris validation.","9/10: Human sky gestures, contextual plan tools and location-sensitive revalidation give the agent the same observing instrument. Inspected lifecycle code supports careful management of in-flight calls and capability retirement.","8.5/10: An established astronomy library, reported malformed-input testing and native calls across the tool surface support a coherent bounded product. No independent ephemeris verification or complete observing-session run was performed.","7.5/10: Portable observing plans address a concrete amateur-astronomy need. Catalog restrictions, limited weather support and the absence of observer trials reduce confidence in broad practical impact.","9/10: Shared sky focus and plans revalidated for another location form a distinctive collaboration model. The score recognizes that implemented interaction, not future custom targets or session logging.","Imported plans become new proposals revalidated for the receiving location.","Weather is absent from target windows, and custom targets and session logs are not yet supported.","prior source inventory and live snapshot; targeted inspection depth varies","high"
"9","9","JupyterLite WebMCP","9","8","8.5","8.5","85","86.25","2","https://devpost.com/software/jupyterlite-webmcp","#file-finalist-details-md","Retained because operating on unsaved cells, current selection and the actual notebook kernel is directly useful. The inspected source-hash guard makes stale-write protection concrete. Its description provides less specific validation than the execution leaders; proposed edits cover updates, not every operation, and visible-cell execution is not a general sandbox. Existing Jupyter maturity is not all new challenge work.","9/10: Tools operate on actual unsaved cells, current selection and the existing kernel, with inspected source-hash protection against stale edits. This is meaningful page-local collaboration rather than moving notebook text through a detached chat.","8/10: Live notebook models and a common guarded mutation path substantiate useful execution, but the description supplies less specific validation than the leaders. Proposed updates are not a blanket gate for insertion, deletion and execution, and visible-cell execution is not a general sandbox.","8.5/10: Students, educators and analysts have an immediate reason to collaborate in their real notebook without copying code and outputs. The broad audience and direct workflow fit are strong, though adoption and measured productivity remain unverified.","8.5/10: Shared runtime context and stale-write-aware collaboration are ambitious and well matched to WebMCP. Notebook copilots already exist, and existing Jupyter maturity is not all new challenge work.","Denial returns a human reason as a normal result, allowing constructive revision.","Propose mode covers updates only; insert, delete and run remain direct. | Restricting execution to visible cells is not a general code-execution safety boundary when agents can insert or edit cells.","prior source inventory and live snapshot; targeted inspection depth varies","high"
"10","10","Field Assist","9","8","8","9","85","87.5","7","https://devpost.com/software/field-assist","#file-finalist-details-md","Retained at the boundary for its distinctive two-device remote-assistance workflow, separate device/control identity, receipts and marker suppression. Tracking robustness is not characterized sufficiently for a higher execution estimate, and TURN plus durable multi-instance state are future work. No camera or two-device test was performed here. Model-visible camera information has a different privacy boundary from the server's no-recording claim.","9/10: Role-scoped support tools combine live session context, separate device/control identity and structured spatial guidance. Inspected context validation substantiates coordination mechanics beyond a generic support dashboard.","8/10: Reported real-device sessions, delivery receipts and marker suppression suggest a concrete build. Tracking reliability is not sufficiently characterized for a higher score, TURN and durable multi-instance state remain future work, and no two-device test was performed here.","8/10: Remote guidance has a clear problem when people cannot identify a physical control from verbal instructions. Field reliability and adoption remain uncertain, and model-visible camera data has a different privacy boundary from the application's no-recording server claim.","9/10: Combining human-correctable spatial guidance with a two-device agent workflow is unusually ambitious. Failure-aware tracking is meaningful, but typed identity checks alone do not establish safe physical-world guidance.","Device identity, actionable control and tracking are treated as separate problems. | Markers are suppressed when geometry becomes unreliable.","TURN support and persistent multi-instance state remain future work. | Camera information sent to a vision-capable agent needs a privacy boundary separate from the application's no-recording server claim.","prior source inventory and live snapshot; targeted inspection depth varies","high"
