slug,title,url,review_tier,description_rank_SHARED_TIES,WebMCP Leverage,Execution,Potential Impact,Creativity & Ambition,description_score_out_of_100_NOT_OFFICIAL,strengths,weaknesses,WebMCP Leverage rationale,Execution rationale,Potential Impact rationale,Creativity & Ambition rationale,verdict,confidence,disposition,scorecard,evidence_quotes,prior_source_review,original_top10_rank,date_policy,repository_links,video_links,reconciled_score_out_of_100_NOT_OFFICIAL,reconciled_L_E_I_C,comparative_reassessment
infratwin,InfraTwin,https://devpost.com/software/infratwin,individual AI review of complete saved public description; no new runtime verification,1,9.5,9,8,9,88.75,"VERIFIED requires checking reconstructed routing and constraints, not trusting the solver's success flag. | The description distinguishes its network model from BGP, OSPF and device simulation.","Synthetic scale benchmarks do not establish operational transfer, and large adaptive generation remains slow enough to affect iteration.","Revision-bound plans, human locks, dynamic capabilities and stale worker rejection make the agent a carefully constrained network-design partner.","Independent reconstruction of solver results, differential tests and explicit model limits provide exceptional description-level coherence.",Inspecting network change tradeoffs against budgets and failure scenarios fits a serious planning need without claiming device-level fidelity.,Combining bounded optimization with independent feasibility checks and shared human constraints is unusually ambitious and well realized.,A leading technical candidate with unusually substantive verification boundaries. Real network-planner trials and broader model validation would most test practical transfer.,high,contender,review/broad/scorecards/infratwin.md,InfraTwin reconstructs the proposed design | before it can receive a VERIFIED state,prior source inventory and live snapshot; targeted inspection depth varies,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/insightlabs38-pixel/InfraTwin,https://player.vimeo.com/video/1223185421?byline=0&portrait=0&title=0#t=0,86.25,9 / 8.5 / 8 / 9,"Promoted from conditional alternate on technical merit. Human constraints change optimization, revisions invalidate results, and the inspected verifier reapplies changes and recomputes routing rather than trusting solver status. Verification holds within a bounded network model, not protocol convergence or production safety. Large adaptive generation can take tens of seconds. The Vimeo-only collected embed remains a separate unresolved YouTube-material caveat, not a numeric penalty."
interleave-syoiaz,Interleave,https://devpost.com/software/interleave-syoiaz,individual AI review of complete saved public description; no new runtime verification,1,9.5,9,8,9,88.75,Tool replacement waits for settlement so observation does not cancel the very race being recorded. | Failure reduction reruns each candidate against fresh state.,"The Plane integration is a deterministic local model and proposed patch, not an upstream-accepted fix or live deployment test.","A real pending tool call, human edit and state-aware capabilities expose the exact concurrency boundary WebMCP introduces.","Replay, reduction, a pinned upstream bug model and targeted patch tests provide unusually complete described evidence.",Reproducible lost-update tests address a concrete developer reliability problem across multiple app types.,Turning shared human-agent races into minimized regression tests is unusually distinctive.,A leading technical candidate with a strong falsifiable workflow. Upstream review and independent recorder adapters would most strengthen its adoption case.,high,contender,review/broad/scorecards/interleave-syoiaz.md,The slow tool returns a real pending promise. | Interleave waits for the active call to settle before replacing the tool surface.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Pavilion-devs/interleave,https://www.youtube.com/embed/9EWZyxjHgj0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,86.25,9 / 8.5 / 8 / 9,"New leading contender. Pending calls plus human edits expose a real shared-state race; replay, fresh-state reduction and exported regressions form a coherent developer workflow. Three adapters and an upstream-linked Plane model give concrete transfer potential. The model and proposed patch are not an upstream-accepted fix or validated live deployment; adopters must supply application-specific actions and invariants."
jig-yrwiue,Jig,https://devpost.com/software/jig-yrwiue,individual AI review of complete saved public description; no new runtime verification,1,9.5,9,8,9,88.75,"Repair evidence survives hosts that return only the first text result. | The engine is separated from UI and protocol code, with all writers using the same validation path.","Property-based tests do not prove correctness for every pattern, and garment coverage remains centered on raglan. | Accessible spoken chart output is a promising next step, not an existing completed outcome.","Actionable refusals, live grading and cross-origin yarn tools show unusually skillful domain and protocol collaboration.","One proposal gate, generated-input properties and reported native repair loops provide exceptional concrete execution evidence.",Preventing mathematically unknittable patterns addresses a specific costly craft problem with direct practitioner use described.,"Whole-stitch repairs and whole-skein cross-site calculation are highly distinctive, coherently realized capabilities.",A leading domain-specific candidate with unusually concrete recovery evidence. Broader garment validation and trials with designers and low-vision knitters would most strengthen impact.,high,contender,review/broad/scorecards/jig-yrwiue.md,The refusal is the product | more garment constructions past raglan,prior source inventory and live snapshot; targeted inspection depth varies,1,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/EmadQureshiKhi/Jig,https://www.youtube.com/embed/jNH0qcJe-DQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,88.75,9.5 / 9 / 8 / 9,"Retains the strongest overall case: a shared validation engine, actionable repairs, context lifetimes and grading/yarn computation support more than a scripted assistant. Concrete reported native recovery is unusually persuasive. Broader garment correctness and designer adoption remain unverified; spoken charts are future work."
lasso-draw-what-your-agent-can-touch,LASSO — Draw What Your Agent Can Touch,https://devpost.com/software/lasso-draw-what-your-agent-can-touch,individual AI review of complete saved public description; no new runtime verification,4,9.5,8.5,8,9,87.5,The agent authors and repairs its own plan rather than calling a hidden optimizer. | Schema scope is reinforced by handler authority validation.,The seeded dispatch scenario does not establish multi-user production authorization or performance on real routing data.,"A human gesture compiles revision-specific tools, negotiable scope and a one-use exact-plan capability.","Independent handler checks, stale/replay rejection and partial-registration handling substantiate a sophisticated bounded demo.","Visual operational tools need precise human-controlled scope, though dispatch adoption remains prospective.",Turning spatial selection into a live agent authority contract is unusually original and coherently realized.,A leading interaction-design contender with substantive authority mechanics. A second real application and server-backed multi-user scope would most test generality.,high,contender,review/broad/scorecards/lasso-draw-what-your-agent-can-touch.md,application handlers validate authority independently of JSON Schema | Stale or replayed authority is rejected.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Smkzz/Lasso,https://www.youtube.com/embed/5e8vTtVZJgo?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,83.75,9 / 8 / 7.5 / 9,"A strong new alternate with unusually original interaction: human pointing defines authority, the agent builds and repairs a plan, and handler checks reinforce scoped schemas. The seeded dispatch exercise reduces late deliveries from six to one, not zero; it does not demonstrate general route optimization, server-backed multi-user authorization or independent production adoption."
threshold-7jhnxb,Threshold,https://devpost.com/software/threshold-7jhnxb,individual AI review of complete saved public description; no new runtime verification,4,9.5,8.5,8,9,87.5,Names the precise failing inter-provider constraint. | Approval shows the exact referral fields and partial hold failure releases prior leases.,"Real agency adoption, service availability and referral governance are not established by the demonstrator.","Cross-origin discovery, state-dependent tools and compensating lease release are load-bearing.","Typed firewalls, explicit null handling and reported multi-origin browser tests are persuasive.",Coordinating interdependent care services addresses an important real fragmentation problem.,Checks feasibility across independent offers rather than merely federating search.,Exceptional WebMCP-specific coordination contender; real-provider deployment and governance are the largest remaining impact questions.,high,contender,review/broad/scorecards/threshold-7jhnxb.md,every lease already taken is released before the call returns | place_plan_holds does not exist until check_plan returns feasible,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Marc-Dvci/Threshold,https://www.youtube.com/embed/J_AyAdoT05I?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,78.75,8.5 / 7.5 / 7.5 / 8,"Interesting feasibility and compensating-hold workflow across providers. However, release requests can fail, so the described mechanisms do not establish that nothing can ever remain booked. Typed filtering reduces injection channels without establishing truthful providers. Real agency governance, availability and adoption remain untested; a fallback transport makes absolute WebMCP-exclusivity claims too strong."
vouchsafe-m3xziq,Vouchsafe,https://devpost.com/software/vouchsafe-m3xziq,individual AI review of complete saved public description; no new runtime verification,4,9.5,8.5,8,9,87.5,Tracks cumulative threshold information rather than treating each yes/no answer as harmless. | Revocation removes proxy tools during the active conversation.,Colluding origins and repeated sessions can defeat the per-origin information budget. | Browser-held facts and predicates do not establish verified income or document authenticity.,"Cross-origin discovery, proxy teardown, and browser-native revocation are central to the product's capability model.","Concrete host quirks, production failures, and inference-budget behavior show unusually detailed implementation evidence.","Predicate disclosure could reduce unnecessary tenancy-document sharing, without proving applicants' underlying facts.",Revocable capabilities combined with tracked threshold leakage are an unusually substantive privacy interaction.,A standout cross-origin capability experiment with unusually honest inference-privacy limits and concrete revocation mechanics.,high,contender,review/broad/scorecards/vouchsafe-m3xziq.md,"Federation is scoped to the frame tree, not the browser. | A patient caller spread across sessions, or several origins pooling answers, defeats a per-origin window.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Sathvik-1007/vouchsafe,https://www.youtube.com/embed/4ho_vCvXNqc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,78.75,8.5 / 8 / 7 / 8,"A strong disclosure-control experiment, not a verified tenancy service. Revocation cannot retract answers already exposed, colluding origins and repeated sessions defeat the stated budget, and browser-held predicates do not authenticate documents or income. Its explicit caveats improve credibility without solving those practical impact limits."
warrant-4ywaz2,Warrant,https://devpost.com/software/warrant-4ywaz2,individual AI review of complete saved public description; no new runtime verification,4,9.5,8.5,8,9,87.5,Revalidates shared contracts against the receiving page before registration. | Policy changes withdraw minted tools and invalidate changed edge-case approvals.,Stable handles and permitted attributes may still support reidentification despite literal identifier suppression. | Self-reported competitor counts and policy-deletion ablations do not establish comparative superiority.,A nondeveloper's demonstrated work becomes a reviewed runtime capability governed by the page's field policy.,"Generated edge cases, drift fingerprints, runtime removal, and concrete failure corrections show substantial implementation.","Could reduce repeated reporting and identifier exposure, though all datasets and deployment contexts are synthetic.","Combining user-authored defaults, structural withholding, and policy-triggered revocation is highly distinctive.","A standout demonstration-to-tool workbench with coherent policy and lifecycle controls, deserving credit for its mechanisms rather than its self-comparative novelty claims.",high,contender,review/broad/scorecards/warrant-4ywaz2.md,"Edge cases are generated from the structure and executed against the real dataset before the tool exists. | The link carries the contract, not a registration",prior source inventory and live snapshot; targeted inspection depth varies,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/yc9954/warrant/blob/main/CLAIMS.md; https://github.com/yc9954/warrant/blob/main/docs/field-position.md; https://github.com/yc9954/warrant/blob/main/docs/what-is-measured.md; https://github.com/yc9954/warrant/blob/main/docs/neighbourhood.md; https://github.com/yc9954/warrant/blob/main/docs/what-i-got-wrong.md; https://github.com/yc9954/warrant,https://www.youtube.com/embed/gyo6vwC7CYA?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,82.5,8.5 / 8 / 8 / 8.5,"Strong alternate. Nondeveloper authoring, three described schemas, reviewed edge cases and policy-change invalidation give useful scope; inspected query and contract-health functions substantiate policy mechanics. Minted contracts add reusable intent/defaults rather than expressiveness beyond run_query. Handles remain linkable, so literal identifier removal is not anonymity. Competitor counts and policy-deletion ablations do not establish superiority."
webmcp-computer,WebMCP Computer,https://devpost.com/software/webmcp-computer,individual AI review of complete saved public description; no new runtime verification,4,9.5,8.5,8,9,87.5,Tools appear and disappear with generated pages and app windows. | Local execution does not directly grant access to host files.,Remote browser credentials and publication approval need more detailed authority rules. | Strict schemas and sandboxing do not alone make arbitrary cloud execution safe.,"Dynamic nested page tools and shared files, processes, and windows make WebMCP the application's core interface.","Worker capabilities, isolated previews, durable local files, and native tests describe substantial systems work.","Offers a useful contained workspace for agent-generated applications, with external cloud and browser risks still relevant.",A browser desktop that creates and then consumes new tools is highly distinctive.,"A standout shared agent computer with meaningful nested capability lifecycles, while cloud execution and publishing require careful production policy.",high,contender,review/broad/scorecards/webmcp-computer.md,opaque sandboxed frames | capped at 16 per Preview,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/nekuda-ai/webmcp-computer,https://www.youtube.com/embed/jkKemWyD9xg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,80,8.5 / 7.5 / 7.5 / 8.5,"Distinctive nested tools and generated applications, but the delivered local shell is just-bash. Network/language execution is opt-in cloud work and remote browsing uses Chrome elsewhere; publishing is text-only. It is a bounded workspace rather than a general local computer, and remote browsing/publication authority is less fully specified than its local lifecycle."
webmcp-foundry,webmcp-foundry,https://devpost.com/software/webmcp-foundry,individual AI review of complete saved public description; no new runtime verification,4,9.5,8.5,8,9,87.5,A check contributes only if it rejects its assigned mutant. | Polyfill evidence cannot satisfy the native acceptance gate.,"Mutation coverage only supports the tested contracts, not universal safety. | Human promotion identity and authority deployment are less detailed than lifecycle mechanics.",Verification and authority directly control native tool existence and automatic stale withdrawal.,"Known-bad controls, non-PASS states, and native observations support a substantial capability lifecycle.","Could improve assurance for tool publishers, although general adapters remain unbuilt.","Treating the agent surface as a compiled, evidence-dependent artifact is highly distinctive.","A standout evidence-driven capability compiler with real stale withdrawal, bounded by its demonstration adapter and the coverage of its verification model.",high,contender,review/broad/scorecards/webmcp-foundry.md,"A check only contributes evidence if it can reject its assigned known-bad implementation. | UNKNOWN, UNGRADABLE and BLOCKED cannot silently become PASS.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/kokkonenjori-arch/webmcp-foundry,https://www.youtube.com/embed/jW7WGhCg7uQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,81.25,9 / 7.5 / 7.5 / 8.5,"Promising new alternate, moderated from the broad first pass. Evidence-controlled registration, stale withdrawal and must-kill mutants are substantive. The shipped adapter is Ledgerly, while broader adapters and CI remain future work. Killing a designated mutant demonstrates sensitivity to that fault, not universal correctness or independent assurance; minimization is not proof of a globally smallest safe interface."
gallery-402,Gallery 402,https://devpost.com/software/gallery-402,individual AI review of complete saved public description; no new runtime verification,10,9,9,8,9,87.5,"Spending policy stays human-controlled and priced actions expose exact effects. | Separates scripted, model-driven, native-host and mainnet payment evidence.",A localStorage private key is unsuitable for substantial funds without stronger custody protections. | Testnet onboarding and a small gallery do not establish broad consumer payment demand.,"Dynamic gallery tools combine personalized tours, shared pointing and bounded purchases in the visible experience.",Reported native cross-client runs and specific compatibility repairs strongly substantiate the description. The reported mainnet purchase is distinct from testnet in-page onboarding and does not by itself establish one end-to-end native payment flow.,"Per-use content access has meaningful potential, while wallet onboarding and publisher economics remain open.","A paid, personalized docent experience makes the payment protocol tangible and creatively collaborative.","A leading entry combining creative shared context with unusually detailed native tooling and payment evidence, tempered by prototype wallet risks.",high,contender,review/broad/scorecards/gallery-402.md,a self-custodied key generated in the page and kept in localStorage | defers surface changes until calls return,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/stevysmith/gallery-402; https://github.com/stevysmith/gallery-402/blob/main/CHATGPT-TESTING.md; https://github.com/stevysmith/agentk; https://github.com/stevysmith/agentk/commits/webmcp-0.6.2,https://www.youtube.com/embed/TEGE-Sl1RXg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent,87.5,9.5 / 9 / 7.5 / 9,"New leading contender. Shared pointing, priced domain actions, settlement evidence and precise Chrome/ChatGPT interoperability repairs justify exceptional leverage and strong execution. Consumer demand and publisher economics are less established, so impact is lower. Mainnet purchase evidence and the testnet onboarding path are distinct, and browser-held wallet keys limit practical custody."
